Global_Time,Frame_ID,Total_Frame,Vehicle_ID,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,Valid,Local_X_Ego,Local_Y_Ego,Lane_Change,Cut_In
1226390221310,11149,3942,4880,3.0060000000000002,23.613000000000003,4431415.097,465460.86799999996,3.909,1.198,2,4.607,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,103.40799999999999,2.421,3,1
1226390221400,11161,1174,242,2.943,5.386,4431392.711,465490.899,0.2,0.2,2,5.432,0.8,0.0,,,,10.0,1,2.0,4880,6934,0.057,0.011000000000000001,sunhe_t3,True,64.281,2.4819999999999998,1,1
1226390221400,11161,3942,4880,2.886,24.594,4431416.419,465459.19899999996,3.909,1.171,2,4.516,2.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,103.874,2.539,3,1
1226390221500,11174,1174,242,2.7039999999999997,6.4910000000000005,4431393.829,465489.185,0.2,0.2,2,4.886,0.0,0.0,,,,10.0,1,1.0,4880,6934,-0.026000000000000002,-0.005,sunhe_t3,True,64.656,2.715,1,1
1226390221500,11174,3942,4880,2.73,25.599,4431417.685,465457.529,3.909,1.171,2,4.475,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,104.302,2.6889999999999996,3,1
1226390221600,11187,1174,242,2.614,7.6,4431395.185,465487.36100000003,0.2,0.2,2,5.233,-2.875,0.0,,,,10.0,1,1.0,4880,6934,0.109,0.021,sunhe_t3,True,65.257,2.823,1,1
1226390221600,11187,3942,4880,2.505,26.691,4431418.8719999995,465455.799,3.909,1.159,2,4.529,6.375,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,104.726,2.932,3,1
1226390221700,11200,1174,242,2.515,8.525,4431396.265,465485.862,0.2,0.2,2,5.212999999999999,0.0,0.0,,,,10.0,1,1.0,4880,6934,0.23800000000000002,0.046,sunhe_t3,True,65.766,2.93,1,1
1226390221700,11200,3942,4880,2.2769999999999997,27.65,4431419.823,465454.321,3.909,1.147,2,4.567,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,105.141,3.168,3,1
1226390221800,11212,1174,242,2.3930000000000002,11.359000000000002,4431396.454,465482.67100000003,0.2,0.2,2,5.185,-4.5,0.0,,,,10.0,1,1.0,4880,6934,0.32799999999999996,0.063,sunhe_t3,True,66.275,3.076,1,1
1226390221800,11212,3942,4880,2.066,30.829,4431419.607,465450.93299999996,3.909,1.136,2,4.526,8.5,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,105.565,3.403,3,1
1226390221800,11212,3858,3860,6.209,46.816,4431446.864,465421.17100000003,4.9,1.216,2,3.505,22.666999999999998,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,145.715,-0.74,0,0
1226390221800,11212,12025,6934,2.374,2.346,4431385.415,465497.50700000004,4.408,1.5819999999999999,2,5.151,-3.667,0.0,,,,10.0,1,1.0,242,4338,-0.02,-0.004,sunhe_t3,True,47.778999999999996,3.095,3,1
1226390221900,11225,1174,242,2.367,12.43,4431397.785,465480.899,0.2,0.2,2,5.186,0.0,0.0,,,,10.0,1,1.0,4880,6934,0.382,0.07400000000000001,sunhe_t3,True,66.807,3.1180000000000003,1,1
1226390221900,11225,3942,4880,1.985,31.866,4431420.8610000005,465449.23299999995,3.909,1.136,2,4.425,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,105.995,3.5,3,1
1226390221900,11225,3858,3860,6.067,47.785,4431447.982,465419.607,4.9,1.216,2,3.127,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,145.958,-0.5820000000000001,0,0
1226390221900,11225,12025,6934,2.305,3.458,4431386.688,465495.716,4.408,1.5819999999999999,2,5.127999999999999,0.0,0.0,,,,10.0,1,1.0,242,4338,-0.062,-0.012,sunhe_t3,True,48.292,3.18,3,1
1226390222000,11238,1174,242,2.38,13.488,4431399.161,465479.12200000003,0.2,0.2,2,5.327999999999999,27.4,0.0,,,,10.0,1,2.0,4880,6934,0.435,0.08199999999999999,sunhe_t3,True,67.369,3.1189999999999998,1,1
